,,,,,,,,,,,,,,
,RRL MATRIX,,,,,,,,,,,,,
,No. ,Author/s ,Journal/ Research Articles Title,Date of Publication,Research Problem/ Purpose of the Study,Variables/ Terms under Study,Model/s Used,Major Contribution,Major Findings,Other Key Findings,Conclusions & Recommendations,Additional Comments,Bibtex,APA Citation
,P01,"Li, D., Ma, S., Hua, H., Li, W., Wang, J., Zhou, C. W., ... & Lyu, H. ",VQualA 2025 Challenge on Engagement Prediction for Short Videos: Methods and Results,2025,understanding & modeling popularity of user generated short videos ono social media platforms,"UGC: user generated content
LMM: large multimodal model
ECR: engagement continuation rate
MLP"" Multi Layer Perceptron","Video-LLaMA2, Qwen2.5-VL, DOVER, CLIP, BERT, BEATs, Skywork-VL, XGBoost regression ","Engagement Metrics, Model, Dataset",those who used multimodal approaches did better than baseline,non-visual (ie text) can still contribute to prediction,,paper on competition,"@inproceedings{li2025vquala,
  title={Vquala 2025 challenge on engagement prediction for short videos: Methods and results},
  author={Li, Dasong and Ma, Sizhuo and Hua, Hang and Li, Wenjie and Wang, Jian and Zhou, Chris Wei and Guan, Fengbin and Li, Xin and Yu, Zihao and Lu, Yiting and others},
  booktitle={Proceedings of the IEEE/CVF International Conference on Computer Vision},
  pages={3391--3401},
  year={2025}
}","Li, D., Ma, S., Hua, H., Li, W., Wang, J., Zhou, C. W., ... & Lyu, H. (2025). Vquala 2025 challenge on engagement prediction for short videos: Methods and results. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 3391-3401)."
,P02,"Sun, W., Cao, L., Cao, Y., Zhang, W., Wen, W., Zhang, K., ... & Zhai, G.",Engagement Prediction of Short Videos with Large Multimodal Models,2025,"optimize recommendation systems on short form video platforms. this is hard bc of many complex and intertwined factors (semantics, sound, etc)","SROCC: Spearman Ranked Order Correlation Coefficient
PLCC: Pearson Linear Correlation Coefficient","Video-LLaMA2, Qwen2.5-VL",Model,audio features are also important in engagement prediction. not just visual and textual,,LMMs have potential in modelling engagement patterns,,"@inproceedings{sun2025engagement,
  title={Engagement Prediction of Short Videos with Large Multimodal Models},
  author={Sun, Wei and Cao, Linhan and Cao, Yuqin and Zhang, Weixia and Wen, Wen and Zhang, Kaiwei and Chen, Zijian and Lu, Fangfang and Min, Xiongkuo and Zhai, Guangtao},
  booktitle={Proceedings of the IEEE/CVF International Conference on Computer Vision},
  pages={3402--3411},
  year={2025}
}","Sun, W., Cao, L., Cao, Y., Zhang, W., Wen, W., Zhang, K., ... & Zhai, G. (2025). Engagement Prediction of Short Videos with Large Multimodal Models. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 3402-3411)."
,P03,"Xiao, L., Li, X., & Zhang, Y. ",Exploring the factors influencing consumer engagement behavior regarding short-form video advertising: A big data perspective.,,,,,"Short Form Videos, Psychology",,,,,"@article{xiao2023exploring,
  title={Exploring the factors influencing consumer engagement behavior regarding short-form video advertising: A big data perspective},
  author={Xiao, Lin and Li, Xiaofeng and Zhang, Yucheng},
  journal={Journal of Retailing and Consumer Services},
  volume={70},
  pages={103170},
  year={2023},
  publisher={Elsevier}
}","Xiao, L., Li, X., & Zhang, Y. (2023). Exploring the factors influencing consumer engagement behavior regarding short-form video advertising: A big data perspective. Journal of Retailing and Consumer Services, 70, 103170."
,P04,"Violot, C., Elmas, T., Bilogrevic, I., & Humbert, M. ",Shorts vs. regular videos on YouTube: A comparative analysis of user engagement and content creation trends. ,,,,,"Short Form Videos, Dataset","- The dataset highlights how engagement differs between formats; for example, it quantifies how ""Shorts"" often achieve higher view counts but different comment-to-view ratios compared to regular videos.",,,,"@inproceedings{violot2024shorts,
  title={Shorts vs. regular videos on YouTube: A comparative analysis of user engagement and content creation trends},
  author={Violot, Caroline and Elmas, Tu{\u{g}}rulcan and Bilogrevic, Igor and Humbert, Mathias},
  booktitle={Proceedings of the 16th ACM Web Science Conference},
  pages={213--223},
  year={2024}
}","Violot, C., Elmas, T., Bilogrevic, I., & Humbert, M. (2024, May). Shorts vs. regular videos on YouTube: A comparative analysis of user engagement and content creation trends. In Proceedings of the 16th ACM Web Science Conference (pp. 213-223)."
,P05,"Xiao, L., Li, X., & Mou, J.",Exploring user engagement behavior with short-form video advertising on short-form video platforms: a visual-audio perspective. ,2024,,,,,,,,,"@article{xiao2024exploring,
  title={Exploring user engagement behavior with short-form video advertising on short-form video platforms: a visual-audio perspective},
  author={Xiao, Lin and Li, Xiaofeng and Mou, Jian},
  journal={Internet Research},
  year={2024},
  publisher={Emerald Publishing Limited}
}","Xiao, L., Li, X., & Mou, J. (2024). Exploring user engagement behavior with short-form video advertising on short-form video platforms: a visual-audio perspective. Internet Research."
,P06,"Li, D., Li, W., Lu, B., Li, H., Ma, S., Krishnan, G., & Wang, J.",Delving deep into engagement prediction of short videos.,2024,How to model engagement levels purely from video content. This helps video creators and recommendation system even if there are limited initial user interactions,"- Mean Opinion Scores (MOS) 
- Normalized Average Watch Percentage (NAWP)
- Engagement Continuation Rate (ECR)",,"Model, Dataset","- The MOS from traditional video quality assessment datasets do not correlate with actual video engagement levels. High visual quality does not necessarily mean high popularity

- NAWP is better to make the engagement of the prediction better
- ECR also helps the likelihood of users continuing to watch the video","The study finds that combining features from visual content, background music, and text helps enhances the accuracy of engagement prediction compared to just the visuals alone",,"Dataset used: 90,000 real-world UGC short videos from Snapchat","@inproceedings{li2024delving,
  title={Delving deep into engagement prediction of short videos},
  author={Li, Dasong and Li, Wenjie and Lu, Baili and Li, Hongsheng and Ma, Sizhuo and Krishnan, Gurunandan and Wang, Jian},
  booktitle={European Conference on Computer Vision},
  pages={289--306},
  year={2024},
  organization={Springer}
}","Li, D., Li, W., Lu, B., Li, H., Ma, S., Krishnan, G., & Wang, J. (2024, September). Delving deep into engagement prediction of short videos. In European Conference on Computer Vision (pp. 289-306). Cham: Springer Nature Switzerland."
,P07,"Cho, M., Jeong, D., & Park, E. ",AMPS: Predicting popularity of short-form videos using multi-modal attention mechanisms in social media marketing environments,2024,,,,"Model, Dataset",,,,,"@article{cho2024amps,
  title={AMPS: Predicting popularity of short-form videos using multi-modal attention mechanisms in social media marketing environments},
  author={Cho, Minhwa and Jeong, Dahye and Park, Eunil},
  journal={Journal of Retailing and Consumer Services},
  volume={78},
  pages={103778},
  year={2024},
  publisher={Elsevier}
}","Cho, M., Jeong, D., & Park, E. (2024). AMPS: Predicting popularity of short-form videos using multi-modal attention mechanisms in social media marketing environments. Journal of Retailing and Consumer Services, 78, 103778."
,P08,"Kai Zhao, Kun Yuan, Ming Sun and Xing Wen Kuaishou Technology","Zoom-VQA: Patches, Frames and Clips Integration for Video Quality Assessment",2023,"The purpose of the study is to simulate human perception of video quality based on Patches, Frames and Clips and not just factoring single frames of the video.",,They have their own model: https://github.com/k-zha14/Zoom-VQA,,"The study found that different levels of the video reveal specific quality issues: motion blur is best reflected at the clip level, semantic information at the frame level, and local artifacts/noise at the patch level.",,,,,
