video_id,post_date,post_time,caption,duration_ms,views,likes,comments,shares,ECR,avg_watch_time_s,NAWP,watched_full_pct,traffic_foryou_pct,traffic_follow_pct,traffic_profile_pct,traffic_search_pct,new_followers,creator_uid,creator_handle,follower_count,account_created_date,data_quality
7599987652200385800,2026-01-27,18:33:42,💙🏷️ - 1/20/26 - I love dynos. 🦖 #bhivesessions #bhive #bouldering #climbing #fyp ,29000,,,2,5,0.46,12.5,0.431034,0.1331,0.953,0.004,0.014,0.001,0,,,,,
7599664901715397896,2026-01-26,21:41:14,🖤🏷️ - 1/20/26 -Quick black tag but i still need to work on my starts. #bhivesessions #bhive #bouldering #climbing #fyp ,26634,,,0,4,0.42,8.83,0.331531,0.075,0.932,0,0.036,0,2,,,,,
7599211567443414279,2026-01-25,16:22:05,🖤🏷️⚡️ - 1/17/2026 - Got to practice crimps 😤 #bhivesessions #bhive #bouldering #climbing #fyp ,66900,,,0,0,0.26,6.78,0.101345,0.02,0.931,0.002,0.045,0.012,0,,,,,
7598836895405067528,2026-01-24,16:08:09,🖤🏷️⚡️ - 1/17/2026 - Longest Black Tag Ever. I almost died pls 😭 #bhivesessions #bhive #bouldering #climbing #fyp ,109334,,,0,0,0.29,7.86,0.07189,0.0041,0.869,0,0.078,0.033,1,,,,,
7598497266462117138,2026-01-23,18:10:13,🖤🏷️⚡️ - 1/17/2026 - Need to project pinks now 🌸 #bhivesessions #bhive #bouldering #climbing #fyp ,36137,,,0,0,0.3,6.43,0.177934,0.017,0.807,0,0.119,0.051,0,,,,,
7598163183504788754,2026-01-22,20:33:50,🖤🏷️⚡️ - 1/17/2026 - The new comp wall feels different bro 🤔 #bhivesessions #bhive #bouldering #climbing #fyp ,38400,,,0,0,0.18,4.91,0.127865,0.0438,0.752,0.007,0.168,0,0,,,,,
7597749220715531528,2026-01-21,17:47:25,💙🏷️ - 1/17/2026 - this is a fun beta. Had to stretch 🤸 #bhivesessions #bhive #bouldering #climbing #fyp ,38867,,,0,1,0.36,7.74,0.199141,0.0252,0.902,0,0.079,0.006,1,,,,,
7597256505989090578,2026-01-20,09:55:28,💙🏷️ - 1/14/2026 - I love the allez when u really need to push. 😤 #bhivesessions #bhive #bouldering #climbing #fyp ,44134,,,0,0,0.36,10.58,0.239724,0.0391,0.882,0.01,0.088,0,0,,,,,
7597046525386083591,2026-01-19,20:20:36,❤️🏷️ - 1/14/2026 - borderline black tag 😭 #bhivesessions #bhive #bouldering #climbing #fyp ,31734,,,0,0,0.3,6.45,0.203252,0.0313,0.867,0,0.105,0.017,0,,,,,
7596794440115653895,2026-01-19,04:02:24,🖤🏷️ - 1/14/2026 - cute lil dyno 😚 #bhivesessions #bhive #bouldering #climbing #fyp ,35634,,,0,1,0.33,9.6,0.269406,0.0335,0.894,0.003,0.085,0,0,,,,,
7596311816939048200,2026-01-17,20:49:33,🖤🏷️⚡️ - 1/14/2026 - practice crimps crimps crimps ima creep 🪖 #bhivesessions #bhive #bouldering #climbing #fyp ,62267,,,1,0,0.26,5.5,0.088329,0.0039,0.819,0.008,0.11,0.024,0,,,,,
7595804581955702023,2026-01-16,12:01:16,🖤🏷️⚡️ - 1/14/2026 - Got to go to ghive again. ts harder fs 🙂‍↕️ #bhivesessions #bhive #bouldering #climbing #fyp ,42400,,,0,0,0.27,6.93,0.163443,0.027,0.849,0.004,0.143,0,0,,,,,
7594023836299840786,2026-01-11,16:51:00,💙🏷️ - 1/5/2026 - Had to redo with the double dyno. Foothold feels good now 😗 #bhivesessions #bhive #bouldering #climbing #fyp ,31634,,,0,1,0.46,11.23,0.354998,0.0992,0.879,0.002,0.084,0.023,0,,,,,
7593656637601139986,2026-01-10,17:06:07,🖤🏷️ ⚡️- 1/5/2026 - Getting comfortable with Black tags. Time to upgrade 🆙 #bhivesessions #bhive #bouldering #climbing #fyp ,33200,,,0,0,0.21,4.56,0.137349,0.0354,0.748,0.01,0.227,0.005,0,,,,,
7593316274411703570,2026-01-09,19:05:20,🖤🏷️⚡️- 1/5/2026 - Lil Overhang and Im dying already pls 😭 #bhivesessions #bhive #bouldering #climbing #fyp ,35867,,,0,0,0.28,6.09,0.169794,0.022,0.923,0.001,0.072,0.001,0,,,,,
7592539310067354898,2026-01-07,16:50:18,🖤🏷️ - 1/5/2026 - Take note: Practice pinches more 🙂‍↕️ #bhivesessions #bhive #bouldering #climbing #fyp ,26600,,,0,2,0.25,6.23,0.234211,0.0433,0.866,0.002,0.123,0,0,,,,,
7592401890495745287,2026-01-07,07:57:04,🖤🏷️ - 1/5/2026 - Practicing my footwork more here 👟 #bhive #bouldering #climbing #fyp ,28067,,,0,0,0.24,5.42,0.193109,0.035,0.907,0,0.076,0.01,2,,,,,
7592169627791133960,2026-01-06,16:55:47,💙🏷️⚡️- 1/5/2026 - I like a little slab action 😗 #bhive #bouldering #climbing #fyp ,55900,,,0,0,0.2,4.35,0.077818,0,0.57,0,0.368,0.031,0,,,,,
7591866492774337810,2026-01-05,21:19:25,💙🏷️ - 1/5/2026 - Purple holds are my friends 💜💜💜 #bhive #bouldering #climbing #fyp ,28534,,,0,1,0.34,7.26,0.254433,0.0526,0.9,0.001,0.072,0.01,2,,,,,
7591447229253160210,2026-01-04,18:12:30,1/3/2026 - Bro is just climbing on anything atp. Performative ah mfer🐒 #bouldering #climbing #fyp ,11967,,,0,0,0.38,5.47,0.45709,0.1548,0.889,0.001,0.096,0.001,0,,,,,
7591127701948304658,2026-01-03,21:32:35,1/2/26 - Happy New Year to me! 😚 I got me some Scarpa Instinct VSR from Banana Fingers. Actually such a fast delivery! #bouldering #climbing #fyp,0,,,1,1,,3.76,,0.2211,0.822,0.001,0.098,0.075,0,,,,,missing_ecr
7590970711288614151,2026-01-03,11:23:23,💙🏷️ - 12/16/25 - I now love coords. I am a good boy 😤 #bhive #bouldering #climbing #fyp ,50400,,,2,1,0.36,9.41,0.186706,0.0498,0.919,0,0.062,0.008,1,,,,,
7590765930972564743,2026-01-02,22:08:42,🖤🏷️ - 12/2/25 - First BOTW. Need to work on slopers more but proud of this 😚 #bhive #bouldering #climbing #fyp ,38534,,,0,0,0.3,5.61,0.145586,0.0252,0.936,0.004,0.059,0,0,,,,,
7590534996172082440,2026-01-02,07:12:38,❤️🏷️ - 12/2/25 - Getting stronger now. Lil Campus in The Cube #bhive #bouldering #climbing #fyp ,28734,,,0,0,0.41,8.53,0.296861,0.0757,0.929,0.002,0.067,0.001,0,,,,,
7590391893830192402,2026-01-01,21:57:14,4🏷️ - 11/20/25 - I like the karate kick flag like in free solo. (It wasnt needed) 🥋 #boulderworldph #bouldering #climbing #fyp ,49767,,,0,0,0.15,4.04,0.081178,0.0109,0.907,0.002,0.082,0.006,0,,,,,
7590250365992340744,2026-01-01,12:48:03,6/7🏷️ - 11/12/25 - haha 67 I forgot but trust your foot. 🦶 #boulderworldph #bouldering #climbing #fyp ,52200,,,0,0,0.22,4.39,0.0841,0.0056,0.928,0.001,0.069,0.001,0,,,,,
7590013095771213074,2025-12-31,21:27:18,4🏷️ - 11/12/25 - Another dyno. Same level but I would say its harder 🙅‍♂️ #boulderworldph #bouldering #climbing #fyp ,34034,,,0,0,0.15,4.06,0.119292,0.023,0.855,0.005,0.103,0.037,0,,,,,
7589762946692173063,2025-12-31,05:16:39,4🏷️ - 11/7/25 - The Start of Dyno Addiction. I love ts 😬 #boulderworldph #bouldering #climbing #fyp ,30500,,,0,1,0.43,8.03,0.263279,0.059,0.931,0.002,0.065,0.001,0,,,,,
7589416059283721490,2025-12-30,06:50:39,💙🏷️ - 9/19/25 - I would say soft blue tag but a blue tag is a blue tag 🫡 #bhive #bouldering #climbing #fyp ,37467,,,0,1,0.37,7.62,0.203379,0.0419,0.914,0,0.061,0.022,0,,,,,
7589281664665128200,2025-12-29,22:08:59,🖤🏷️ - 9/19/25 - What I like here is the pull up and i hate the slab part 😔 #bhive #bouldering #climbing #fyp ,87434,,,0,0,0.14,3.1,0.035455,0,0.778,0,0.204,0.009,0,,,,,
7589035394184891666,2025-12-29,06:13:27,"🖤🏷️ - 9/19/25 - I love the little ""ale!"" and I need to work on my footwork more 🥰 #bhive #bouldering #climbing #fyp ",44267,,,0,0,0.22,4.23,0.095557,0.0297,0.737,0.007,0.219,0.03,0,,,,,
7588729055218896135,2025-12-28,10:24:40,🖤🏷️ - 9/19/25 - This is like my fourth session already and I still need to work on a lotta things 😗 #bhive #bouldering #climbing #fyp ,44667,,,0,0,0.31,4.77,0.10679,0.0034,0.777,0,0.206,0.014,0,,,,,
7588666136481271058,2025-12-28,06:20:28,🖤🏷️ - 8/29/25 - Third session - I think this is the time where I got competitive on how many black tags i can get 🙂‍↕️ #bhive #bouldering #climbing #fyp ,31534,,,0,0,0.31,5.79,0.183611,0.0584,0.733,0,0.17,0.022,1,,,,,
